date	sha	gbps	tag
2025-01-08	20b4e4cc8d	0.530122	
2025-01-08	2339e798cc	0.526976	
2025-01-08	252f243725	0.526838	
2025-01-08	256a678be2	0.532134	
2025-01-08	25e13ff482	0.514281	
2025-01-08	27892f89fe	0.533094	
2025-01-08	2b42afb889	0.528330	
2025-01-08	2ef322810f	0.523012	
2025-01-08	2f8ecef682	0.515805	
2025-01-08	32fe74ace7	0.534686	
2025-01-08	330d3d46a7	0.522695	
2025-01-08	3456367f87	0.525083	
2025-01-08	34f7a81cf6	0.524344	
2025-01-08	369e310af9	0.531935	
2025-01-08	37924453f8	0.526102	
2025-01-08	3a5e1d4447	0.527718	
2025-01-08	3a8ed08a54	0.527641	
2025-01-08	3bd70964db	0.536571	
2025-01-08	3c4bf3bbae	0.519538	
2025-01-08	3cd03089e3	0.513757	
2025-01-08	3ee8a2e071	0.526699	
2025-01-08	3fb86772a4	0.530772	
2025-01-08	404338a487	0.541035	
2025-01-08	413f406859	0.527523	
2025-01-08	43e6dc320b	0.527494	
2025-01-08	45fe588e27	0.526087	
2025-01-08	462db698d2	0.538594	
2025-01-08	4a5a5ab386	0.534702	
2025-01-08	4ac1cfcc57	0.520184	
2025-01-08	4c66ef0496	0.530360	
2025-01-08	4c7027e1c8	0.533864	
2025-01-08	4cbb5032c0	0.519050	
2025-01-08	4e559a9be0	0.538609	
2025-01-08	4fa3523cfa	0.523068	
2025-01-08	5031d23e31	0.525054	
2025-01-08	510a07bcf4	0.530889	
2025-01-08	534f0d26d8	0.529545	
2025-01-08	54665b8e61	0.517792	
2025-01-08	55d945cc04	0.522105	
2025-01-08	56343398a3	0.534706	
2025-01-08	565bad1afd	0.529095	
2025-01-08	5739495409	0.527010	
2025-01-08	5934f093dc	0.522523	
2025-01-08	5a8fd6ba1a	0.521675	
2025-01-08	5e801361f8	0.535454	
2025-01-08	5ec00cfc08	0.529704	
2025-01-08	65ca433892	0.530867	
2025-01-08	66d96e9486	0.519749	
2025-01-08	6782e8654f	0.522204	
2025-01-08	68324417f3	0.520167	
2025-01-08	6905ec585a	0.534383	
2025-01-08	69595f011c	0.527309	
2025-01-08	6afb5f4d2e	0.517938	
2025-01-08	6b4104b62f	0.527165	
2025-01-08	6f2de0255b	0.536281	
2025-01-08	70d0c5f0d8	0.531659	
2025-01-08	722380031d	0.525618	
2025-01-08	7441e0e0b2	0.530458	
2025-01-08	7797da0a96	0.511222	
2025-01-08	79bf50cc79	0.522163	
2025-01-08	7b9be1a17c	0.523291	
2025-01-08	7dd66ac836	0.537825	
2025-01-08	7e75789a38	0.523753	
2025-01-08	7f1cd12ede	0.518046	
2025-01-08	7f35bd4d30	0.528694	
2025-01-08	80056a6b7c	0.525701	
2025-01-08	84439a4162	0.519223	
2025-01-08	859b8f3ea7	0.515592	
2025-01-08	863fcefcd9	0.532659	
2025-01-08	86ba230316	0.528057	
2025-01-08	894ac229de	0.538675	
2025-01-08	8a37396674	0.520919	
2025-01-08	8ab4503c12	0.530663	
2025-01-08	8b93fb02a4	0.520394	
2025-01-08	8cf8d110fc	0.524446	
2025-01-08	8f8e8f23dc	0.520418	
2025-01-08	927694eee6	0.523695	
2025-01-08	92e47c8241	0.531958	
2025-01-08	9460d8dc70	0.536198	
2025-01-08	955396aa8f	0.523961	
2025-01-08	976d8a923f	0.526228	
