tc	idx	sha	date	bench	mbs	cb	ib	subject
clangpaper	015	6065b3b4240d	2026-03-12T20:40:43-04:00	parsing_twitter	4783.96	0.72	2.6	disabling loongson LASX runtime dispatching everywhere but GCC15+ (#2626)
clangpaper	015	6065b3b4240d	2026-03-12T20:40:43-04:00	parsing_citm	2297.86	1.5	6.14	disabling loongson LASX runtime dispatching everywhere but GCC15+ (#2626)
clangpaper	016	be9469429077	2026-03-12T20:43:36-04:00	serialization_twitter	4625.04	0.75	3.44	v4.4.0
clangpaper	016	be9469429077	2026-03-12T20:43:36-04:00	serialization_citm	2808.92	1.23	6.05	v4.4.0
clangpaper	016	be9469429077	2026-03-12T20:43:36-04:00	parsing_twitter	4764.35	0.73	2.6	v4.4.0
clangpaper	016	be9469429077	2026-03-12T20:43:36-04:00	parsing_citm	2290.14	1.5	6.14	v4.4.0
clangpaper	017	03e8d14eee6b	2026-03-15T18:40:08-04:00	serialization_twitter	4635.08	0.75	3.44	fix failing CI and rename misleading workflow name (#2630)
clangpaper	017	03e8d14eee6b	2026-03-15T18:40:08-04:00	serialization_citm	2813.98	1.22	6.05	fix failing CI and rename misleading workflow name (#2630)
clangpaper	017	03e8d14eee6b	2026-03-15T18:40:08-04:00	parsing_twitter	4782.26	0.72	2.6	fix failing CI and rename misleading workflow name (#2630)
clangpaper	017	03e8d14eee6b	2026-03-15T18:40:08-04:00	parsing_citm	2291.51	1.5	6.14	fix failing CI and rename misleading workflow name (#2630)
clangpaper	018	781ea4b495b5	2026-03-17T12:38:11-04:00	serialization_twitter	4585.86	0.75	3.44	fixing issue https://github.com/nodejs/node/pull/62257 (#2631)
clangpaper	018	781ea4b495b5	2026-03-17T12:38:11-04:00	serialization_citm	2811.65	1.23	6.05	fixing issue https://github.com/nodejs/node/pull/62257 (#2631)
clangpaper	018	781ea4b495b5	2026-03-17T12:38:11-04:00	parsing_twitter	4773.09	0.72	2.6	fixing issue https://github.com/nodejs/node/pull/62257 (#2631)
clangpaper	018	781ea4b495b5	2026-03-17T12:38:11-04:00	parsing_citm	2292.64	1.5	6.14	fixing issue https://github.com/nodejs/node/pull/62257 (#2631)
clangpaper	019	5395aacb8b63	2026-03-17T12:39:07-04:00	serialization_twitter	4644.09	0.75	3.44	v4.4.1
clangpaper	019	5395aacb8b63	2026-03-17T12:39:07-04:00	serialization_citm	2802.17	1.23	6.05	v4.4.1
clangpaper	019	5395aacb8b63	2026-03-17T12:39:07-04:00	parsing_twitter	4795.42	0.72	2.6	v4.4.1
clangpaper	019	5395aacb8b63	2026-03-17T12:39:07-04:00	parsing_citm	2298.66	1.5	6.14	v4.4.1
clangpaper	020	a1ff05a5e89c	2026-03-20T11:11:38-04:00	serialization_twitter	4666.41	0.74	3.44	Fix RISC-V compilation without RVV (#2637)
clangpaper	020	a1ff05a5e89c	2026-03-20T11:11:38-04:00	serialization_citm	2819.68	1.22	6.05	Fix RISC-V compilation without RVV (#2637)
clangpaper	020	a1ff05a5e89c	2026-03-20T11:11:38-04:00	parsing_twitter	4796.33	0.73	2.6	Fix RISC-V compilation without RVV (#2637)
clangpaper	020	a1ff05a5e89c	2026-03-20T11:11:38-04:00	parsing_citm	2296.8	1.5	6.14	Fix RISC-V compilation without RVV (#2637)
clangpaper	021	b4a0fd3ff4f0	2026-03-20T11:12:35-04:00	serialization_twitter	4627.2	0.75	3.44	4.4.2
clangpaper	021	b4a0fd3ff4f0	2026-03-20T11:12:35-04:00	serialization_citm	2800.27	1.24	6.05	4.4.2
clangpaper	021	b4a0fd3ff4f0	2026-03-20T11:12:35-04:00	parsing_twitter	4773.81	0.72	2.6	4.4.2
clangpaper	021	b4a0fd3ff4f0	2026-03-20T11:12:35-04:00	parsing_citm	2302.45	1.5	6.14	4.4.2
