date	sha	tag	metric	value	subject
2024-08-03	eaae83bf5a54		base64_decode	38.281	some endian-specific test must be disabled on big endian systems
2024-08-03	a56fc5482bd2		validate_utf8	20.300	Moreissues (#465)
2024-08-03	a56fc5482bd2		validate_ascii	82.686	Moreissues (#465)
2024-08-03	a56fc5482bd2		validate_utf16le	61.461	Moreissues (#465)
2024-08-03	a56fc5482bd2		utf8_to_utf16le	6.858	Moreissues (#465)
2024-08-03	a56fc5482bd2		utf16le_to_utf8	12.419	Moreissues (#465)
2024-08-03	a56fc5482bd2		base64_encode	31.993	Moreissues (#465)
2024-08-03	a56fc5482bd2		base64_decode	38.169	Moreissues (#465)
2024-08-03	436a97c0b7ca		validate_utf8	20.274	documenting issue 464 (#467)
2024-08-03	436a97c0b7ca		validate_ascii	82.640	documenting issue 464 (#467)
2024-08-03	436a97c0b7ca		validate_utf16le	61.598	documenting issue 464 (#467)
2024-08-03	436a97c0b7ca		utf8_to_utf16le	6.838	documenting issue 464 (#467)
2024-08-03	436a97c0b7ca		utf16le_to_utf8	12.438	documenting issue 464 (#467)
2024-08-03	436a97c0b7ca		base64_encode	31.883	documenting issue 464 (#467)
2024-08-03	436a97c0b7ca		base64_decode	38.155	documenting issue 464 (#467)
2024-08-03	4c65f4f47d99		validate_utf8	20.293	Update README.md
2024-08-03	4c65f4f47d99		validate_ascii	82.657	Update README.md
2024-08-03	4c65f4f47d99		validate_utf16le	61.467	Update README.md
2024-08-03	4c65f4f47d99		utf8_to_utf16le	6.841	Update README.md
2024-08-03	4c65f4f47d99		utf16le_to_utf8	12.422	Update README.md
2024-08-03	4c65f4f47d99		base64_encode	31.741	Update README.md
2024-08-03	4c65f4f47d99		base64_decode	38.270	Update README.md
2024-08-03	d87d2a1acf0d		validate_utf8	20.287	adding example with non-ascii data
2024-08-03	d87d2a1acf0d		validate_ascii	77.302	adding example with non-ascii data
2024-08-03	d87d2a1acf0d		validate_utf16le	61.240	adding example with non-ascii data
2024-08-03	d87d2a1acf0d		utf8_to_utf16le	6.842	adding example with non-ascii data
2024-08-03	d87d2a1acf0d		utf16le_to_utf8	12.448	adding example with non-ascii data
2024-08-03	d87d2a1acf0d		base64_encode	32.013	adding example with non-ascii data
2024-08-03	d87d2a1acf0d		base64_decode	38.384	adding example with non-ascii data
2024-08-04	04b9b9ed1a69		validate_utf8	20.274	tweak simdutf_really_inline
2024-08-04	04b9b9ed1a69		validate_ascii	82.649	tweak simdutf_really_inline
2024-08-04	04b9b9ed1a69		validate_utf16le	61.457	tweak simdutf_really_inline
2024-08-04	04b9b9ed1a69		utf8_to_utf16le	6.837	tweak simdutf_really_inline
