goos: linux
goarch: amd64
pkg: github.com/RoaringBitmap/roaring/v2
cpu: INTEL(R) XEON(R) GOLD 6548N
BenchmarkChecksum/checksum-64-128               	1000000000	         0.0000029 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-64-128               	1000000000	         0.0000033 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-64-128               	1000000000	         0.0000032 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-64-128               	1000000000	         0.0000027 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-64-128               	1000000000	         0.0000028 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-64-128               	1000000000	         0.0000022 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-64-128               	1000000000	         0.0000020 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-64-128    	1000000000	         0.0000024 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-64-128    	1000000000	         0.0000023 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-64-128    	1000000000	         0.0000011 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-64-128    	1000000000	         0.0000029 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-64-128    	1000000000	         0.0000029 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-64-128    	1000000000	         0.0000030 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-64-128    	1000000000	         0.0000023 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-64-128    	1000000000	         0.0000023 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-128-128              	1000000000	         0.0000041 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-128-128              	1000000000	         0.0000029 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-128-128              	1000000000	         0.0000031 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-128-128              	1000000000	         0.0000025 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-128-128              	1000000000	         0.0000023 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-128-128              	1000000000	         0.0000026 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-128-128              	1000000000	         0.0000025 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-128-128              	1000000000	         0.0000023 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-128-128   	1000000000	         0.0000038 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-128-128   	1000000000	         0.0000038 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-128-128   	1000000000	         0.0000034 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-128-128   	1000000000	         0.0000040 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-128-128   	1000000000	         0.0000039 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-128-128   	1000000000	         0.0000038 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-128-128   	1000000000	         0.0000040 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-128-128   	1000000000	         0.0000035 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-256-128              	1000000000	         0.0000041 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-256-128              	1000000000	         0.0000039 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-256-128              	1000000000	         0.0000037 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-256-128              	1000000000	         0.0000036 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-256-128              	1000000000	         0.0000034 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-256-128              	1000000000	         0.0000035 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-256-128              	1000000000	         0.0000036 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-256-128              	1000000000	         0.0000035 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-256-128   	1000000000	         0.0000064 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-256-128   	1000000000	         0.0000060 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-256-128   	1000000000	         0.0000061 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-256-128   	1000000000	         0.0000061 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-256-128   	1000000000	         0.0000061 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-256-128   	1000000000	         0.0000064 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-256-128   	1000000000	         0.0000063 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-256-128   	1000000000	         0.0000061 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-512-128              	1000000000	         0.0000066 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-512-128              	1000000000	         0.0000064 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-512-128              	1000000000	         0.0000059 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-512-128              	1000000000	         0.0000065 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-512-128              	1000000000	         0.0000062 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-512-128              	1000000000	         0.0000061 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-512-128              	1000000000	         0.0000064 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-512-128              	1000000000	         0.0000062 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-512-128   	1000000000	         0.0000110 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-512-128   	1000000000	         0.0000107 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-512-128   	1000000000	         0.0000106 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-512-128   	1000000000	         0.0000107 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-512-128   	1000000000	         0.0000108 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-512-128   	1000000000	         0.0000116 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-512-128   	1000000000	         0.0000109 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-512-128   	1000000000	         0.0000109 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1024-128             	1000000000	         0.0000116 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1024-128             	1000000000	         0.0000117 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1024-128             	1000000000	         0.0000115 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1024-128             	1000000000	         0.0000112 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1024-128             	1000000000	         0.0000113 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1024-128             	1000000000	         0.0000113 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1024-128             	1000000000	         0.0000122 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1024-128             	1000000000	         0.0000164 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1024-128  	1000000000	         0.0000208 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1024-128  	1000000000	         0.0000204 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1024-128  	1000000000	         0.0000202 ns/op	       0 B/op	       0 allocs/op
