goos: linux
goarch: amd64
pkg: github.com/RoaringBitmap/roaring/v2
cpu: INTEL(R) XEON(R) GOLD 6548N
BenchmarkChecksum/checksum-128-128              	1000000000	         0.0000033 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-128-128              	1000000000	         0.0000027 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-128-128              	1000000000	         0.0000032 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-128-128              	1000000000	         0.0000024 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-128-128              	1000000000	         0.0000027 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-128-128              	1000000000	         0.0000029 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-128-128              	1000000000	         0.0000026 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-128-128              	1000000000	         0.0000013 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-128-128   	1000000000	         0.0000041 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-128-128   	1000000000	         0.0000042 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-128-128   	1000000000	         0.0000037 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-128-128   	1000000000	         0.0000039 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-128-128   	1000000000	         0.0000043 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-128-128   	1000000000	         0.0000034 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-128-128   	1000000000	         0.0000038 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-128-128   	1000000000	         0.0000038 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-256-128              	1000000000	         0.0000040 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-256-128              	1000000000	         0.0000039 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-256-128              	1000000000	         0.0000033 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-256-128              	1000000000	         0.0000049 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-256-128              	1000000000	         0.0000039 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-256-128              	1000000000	         0.0000041 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-256-128              	1000000000	         0.0000036 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-256-128              	1000000000	         0.0000039 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-256-128   	1000000000	         0.0000066 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-256-128   	1000000000	         0.0000063 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-256-128   	1000000000	         0.0000063 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-256-128   	1000000000	         0.0000061 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-256-128   	1000000000	         0.0000062 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-256-128   	1000000000	         0.0000066 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-256-128   	1000000000	         0.0000060 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-256-128   	1000000000	         0.0000062 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-512-128              	1000000000	         0.0000067 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-512-128              	1000000000	         0.0000064 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-512-128              	1000000000	         0.0000059 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-512-128              	1000000000	         0.0000067 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-512-128              	1000000000	         0.0000063 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-512-128              	1000000000	         0.0000060 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-512-128              	1000000000	         0.0000063 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-512-128              	1000000000	         0.0000062 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-512-128   	1000000000	         0.0000112 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-512-128   	1000000000	         0.0000112 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-512-128   	1000000000	         0.0000108 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-512-128   	1000000000	         0.0000107 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-512-128   	1000000000	         0.0000118 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-512-128   	1000000000	         0.0000112 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-512-128   	1000000000	         0.0000112 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-512-128   	1000000000	         0.0000109 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1024-128             	1000000000	         0.0000133 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1024-128             	1000000000	         0.0000114 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1024-128             	1000000000	         0.0000195 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1024-128             	1000000000	         0.0000115 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1024-128             	1000000000	         0.0000111 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1024-128             	1000000000	         0.0000113 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1024-128             	1000000000	         0.0000113 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1024-128             	1000000000	         0.0000120 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1024-128  	1000000000	         0.0000212 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1024-128  	1000000000	         0.0000209 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1024-128  	1000000000	         0.0000207 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1024-128  	1000000000	         0.0000208 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1024-128  	1000000000	         0.0000203 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1024-128  	1000000000	         0.0000206 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1024-128  	1000000000	         0.0000253 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1024-128  	1000000000	         0.0000209 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2048-128             	1000000000	         0.0000316 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2048-128             	1000000000	         0.0000219 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2048-128             	1000000000	         0.0000221 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2048-128             	1000000000	         0.0000219 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2048-128             	1000000000	         0.0000221 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2048-128             	1000000000	         0.0000216 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2048-128             	1000000000	         0.0000228 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2048-128             	1000000000	         0.0000220 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2048-128  	1000000000	         0.0000414 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2048-128  	1000000000	         0.0000375 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2048-128  	1000000000	         0.0000374 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2048-128  	1000000000	         0.0000423 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2048-128  	1000000000	         0.0000374 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2048-128  	1000000000	         0.0000372 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2048-128  	1000000000	         0.0000424 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2048-128  	1000000000	         0.0000428 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4096-128             	1000000000	         0.0000482 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4096-128             	1000000000	         0.0000429 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4096-128             	1000000000	         0.0000104 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4096-128             	1000000000	         0.0000564 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4096-128             	1000000000	         0.0000157 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4096-128             	1000000000	         0.0000520 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4096-128             	1000000000	         0.0000419 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4096-128             	1000000000	         0.0000481 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-4096-128  	1000000000	         0.0000704 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-4096-128  	1000000000	         0.0000637 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-4096-128  	1000000000	         0.0000944 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-4096-128  	1000000000	         0.0000865 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-4096-128  	1000000000	         0.0000834 ns/op	       0 B/op	       0 allocs/op
